target,source,anchor_pin_val,pin_value,alpha_full,train_nll_mean,test_nll_mean,lam_u_mean,mean_baseline_train,mean_hawkes_train,mean_baseline_test,mean_hawkes_test,converged
to_cart,to_ord,0.0,0.05,"[0.015436177378260064, 0.06596953496372249, 0.05]",0.8321682947350743,0.9851735578222298,0.7220952762488014,0.27152700812303776,0.09669915590850474,0.32179233257970763,0.11347107270159373,True
to_cart,to_ord,0.0,0.06,"[0.01527581424271922, 0.06421444982356808, 0.06]",0.8324761651603593,0.985408297683996,0.7228396970034342,0.2718125096062772,0.09704742843701628,0.3221261077946059,0.11404934025555563,True
to_cart,to_ord,0.0,0.07,"[0.015207864388570495, 0.06254172365125812, 0.07]",0.8327904381431507,0.9857660978670721,0.7218738979747826,0.27144129613520174,0.0976795516489619,0.3217028806625959,0.11495218391164352,True
to_cart,to_ord,0.0,0.08,"[0.015068139309192785, 0.06090270096362003, 0.08]",0.8331386075254847,0.9860652189323736,0.7223523753818306,0.2716238960356877,0.09816426771905008,0.32191753643310705,0.11568970867938987,True
to_cart,to_ord,0.0,0.09,"[0.014936901798954117, 0.05939145148719304, 0.09]",0.8335073807406658,0.9864251112642832,0.7223481967980052,0.2716222352602457,0.09876496516335306,0.3219157840314256,0.11656383979945265,True
to_cart,to_ord,0.0,0.1,"[0.014819726144655447, 0.057582030230649964, 0.1]",0.8338645797987225,0.9868205319230536,0.7229432571439205,0.2718451511656017,0.09917646030676583,0.3221949816574912,0.11721132394922969,True
to_ord,searches,0.005239236861068048,0.0,"[0.0, 0.01377355784816257, 0.03729986600970106]",0.3163772327508825,0.40313088771144673,0.7525931732330289,0.07755661280586049,0.01793611643187673,0.0968352126036808,0.021836872194089394,True
to_ord,searches,0.005239236861068048,0.01,"[0.01, 0.0018124399750220708, 0.025691796131813077]",0.31581887897987737,0.3992505439417311,0.6572886293583253,0.06762214542193781,0.030663417347302595,0.08461895772760022,0.0354273289475826,True
to_ord,searches,0.005239236861068048,0.02,"[0.02, 0.0, 0.0016643947940781915]",0.31962539545767377,0.4021193610781158,0.5899634551207086,0.06069660074478328,0.048439689358218414,0.07594733516919196,0.05483760715543122,True
to_ord,searches,0.005239236861068048,0.03,"[0.03, 0.0, 0.0]",0.3270533519891855,0.407395141967446,0.5116683866415727,0.052605466520050916,0.07214856384023033,0.06587236728050919,0.08161384242185599,True
