user_id,mu_eb,lambda_u,train_purchases,m_staged,m_joint
631344,0.4938891821879336,0.38113740890713277,10.0,0.40803661396522467,0.38113740890713277
631445,1.6744221632745608,1.5369873667035368,36.0,1.3833579970797962,1.5369873667035368
631639,0.7663198701310014,0.6059189985923347,16.0,0.6331107792993566,0.6059189985923347
631694,0.6755096408166454,0.462827798418504,14.0,0.5580860575213126,0.462827798418504
631706,0.5846994115022895,0.38145436000799154,12.0,0.48306133574326865,0.38145436000799154
631748,0.4938891821879336,0.2960781006215985,10.0,0.40803661396522467,0.2960781006215985
631785,1.0387505580740692,0.9316226574507375,22.0,0.8581849446334884,0.9316226574507375
631819,1.2203710167027813,0.8286552260224426,26.0,1.0082343881895763,0.8286552260224426
631834,0.31226872355922164,0.14458715813104173,6.0,0.25798717040913666,0.14458715813104173
631865,0.31226872355922164,0.16328734598335626,6.0,0.25798717040913666,0.16328734598335626
631908,0.8117249847881794,0.5942912309306131,17.0,0.6706231401883785,0.5942912309306131
632036,1.7652323925889168,1.4456979623631983,38.0,1.4583827188578402,1.4456979623631983
632165,0.4938891821879336,0.31872402031114894,10.0,0.40803661396522467,0.31872402031114894
632186,0.13495814305051,0.031039831761214075,2.0,0.11149842050278035,0.031039831761214075
632373,0.3576738382163996,0.17996582159578622,7.0,0.29549953129815865,0.17996582159578622
632396,0.7209147554738234,0.5537186356668883,15.0,0.5955984184103346,0.5537186356668883
632417,0.2214584942448657,0.1299234874096317,4.0,0.1829624486310927,0.1299234874096317
632524,4.217108584076527,1.9915438693567475,92.0,3.484050206865027,1.9915438693567475
632598,0.26686360890204364,0.11493960786096097,5.0,0.22047480952011467,0.11493960786096097
632613,0.40307895287357765,0.20111335205099976,8.0,0.3330118921871807,0.20111335205099976
632642,0.03983803561615378,0.001,0.0,0.03291300507500476,0.001
632666,0.8401847299883093,0.7679461522505822,7.0,0.694135738731902,0.7679461522505822
632700,0.9479403287597133,0.8080723130630327,20.0,0.7831602228554445,0.8080723130630327
632720,0.13064826493050974,0.03833210867249863,2.0,0.10793772685304874,0.03833210867249863
633021,0.4852514535216051,0.21292031553976218,9.0,0.40090037837944925,0.21292031553976218
633185,2.5371193417609423,1.8588998564173123,55.0,2.096092853971214,1.8588998564173123
633277,0.2214584942448657,0.14217279941226604,4.0,0.1829624486310927,0.14217279941226604
633366,3.0365756029899,1.9745985939946837,66.0,2.5087288237504555,1.9745985939946837
633434,0.3576738382163996,0.21995928783229854,7.0,0.29549953129815865,0.21995928783229854
633459,0.5846994115022895,0.22421753399642988,12.0,0.48306133574326865,0.22421753399642988
633463,0.4484840675307556,0.22212910360687096,9.0,0.3705242530762026,0.22212910360687096
633497,1.9014477365604507,1.6694780973869616,41.0,1.5709198015249062,1.6694780973869616
633757,0.08524315027333176,0.04580390138835593,1.0,0.07042536596402675,0.04580390138835593
633814,0.3576738382163996,0.1554486031614412,7.0,0.29549953129815865,0.1554486031614412
633907,4.080893240104993,2.2005393512445544,89.0,3.371513124197961,2.2005393512445544
634137,3.081980717647078,2.388611786314725,67.0,2.5462411846394777,2.388611786314725
634181,0.2214584942448657,0.09986039804023224,4.0,0.1829624486310927,0.09986039804023224
634509,0.3594155369932355,0.20773469995089786,7.0,0.29693847124071654,0.20773469995089786
634619,2.4917142271037647,1.5809502040206944,54.0,2.058580493082192,1.5809502040206944
634629,0.09185852605846946,0.047029307824592914,1.0,0.07589079349883757,0.047029307824592914
634827,1.9607898656481766,1.3687093523671345,36.0,1.6199465109401148,1.3687093523671345
634925,2.0993925631433386,1.4683939954874288,23.0,1.7344559543780804,1.4683939954874288
634964,0.3576738382163996,0.161317181063622,7.0,0.29549953129815865,0.161317181063622
635065,0.20000211869252998,0.1560527565659475,3.0,0.1652358266598306,0.1560527565659475
635203,0.4034889568738417,0.49011344185729244,4.0,0.3333506253484109,0.49011344185729244
635355,1.1295607873884252,0.8239955942550544,24.0,0.9332096664115325,0.8239955942550544
635567,0.13064826493050974,0.045353984527249765,2.0,0.10793772685304874,0.045353984527249765
635639,0.5188006088186814,0.3681472554460319,10.0,0.42861769680332895,0.3681472554460319
635708,0.26686360890204364,0.15066020146470538,5.0,0.22047480952011467,0.15066020146470538
635710,0.7209147554738234,0.6056430699157886,15.0,0.5955984184103346,0.6056430699157886
635827,0.08524315027333176,0.03806644580121527,1.0,0.07042536596402675,0.03806644580121527
635863,4.489539272019595,2.2095680103471076,98.0,3.709124372199159,2.2095680103471076
636037,1.1295607873884252,0.8023277331345591,24.0,0.9332096664115325,0.8023277331345591
636110,0.7209147554738234,0.44103011347467347,15.0,0.5955984184103346,0.44103011347467347
636176,0.1425940012992938,0.12210014283994197,2.0,0.11780694042368559,0.12210014283994197
636206,1.2203710167027813,0.9579332513524069,26.0,1.0082343881895763,0.9579332513524069
636256,1.1295607873884252,0.7894831566586717,24.0,0.9332096664115325,0.7894831566586717
636362,0.7663198701310014,0.6890007875475357,16.0,0.6331107792993566,0.6890007875475357
636544,3.8992727814762813,2.0915283865132204,85.0,3.221463680641873,2.0915283865132204
636866,0.17605337958768771,0.11616612503925697,3.0,0.14545008774207072,0.11616612503925697
636884,4.217108584076527,3.0912920384838736,92.0,3.484050206865027,3.0912920384838736
636933,0.17605337958768771,0.10128712740572192,3.0,0.14545008774207072,0.10128712740572192
637103,0.26686360890204364,0.12240296116711685,5.0,0.22047480952011467,0.12240296116711685
637353,0.9933454434168913,0.5499930678726324,21.0,0.8206725837444665,0.5499930678726324
637456,1.583611933960205,1.2503649530546845,34.0,1.3083332753017523,1.2503649530546845
637458,0.17561523779117763,0.37281418496268953,1.0,0.14508810796698712,0.37281418496268953
637489,0.08524315027333176,0.04586884288210341,1.0,0.07042536596402675,0.04586884288210341
637568,0.13064826493050974,0.05562538481809989,2.0,0.10793772685304874,0.05562538481809989
637573,0.3576738382163996,0.16208337190293706,7.0,0.29549953129815865,0.16208337190293706
637634,0.6755096408166454,0.5939134044582454,14.0,0.5580860575213126,0.5939134044582454
637647,0.17605337958768771,0.09613797657802846,3.0,0.14545008774207072,0.09613797657802846
637674,1.2203710167027813,1.2221113797616772,26.0,1.0082343881895763,1.2221113797616772
637689,0.5392942968451115,0.1881801174446507,11.0,0.4455489748542466,0.1881801174446507
637744,0.3576738382163996,0.18334840693300913,7.0,0.29549953129815865,0.18334840693300913
