user_id,ll_personalized_poisson,ll_experimental_1_hawkes,test_purchases
32644,-1.19970354560459,-1.0760525477572795,0.0
32765,-28.458753518851207,-28.952810028983414,8.0
32923,-29.685945211123894,-29.949535005718488,12.0
32957,-3.607351978415468,-3.491624503488732,0.0
33030,-9.004598091661554,-9.31795052016155,2.0
33266,-4.2147836948157416,-3.676588981370028,0.0
33285,-18.732751433155464,-18.295389648530296,5.0
33680,-33.82752174264399,-33.808741193430194,11.0
33688,-36.64313484760492,-32.89761260226804,11.0
33695,-14.334439011154922,-14.617104588357885,4.0
33787,-2.088772687414786,-1.7721154570528266,0.0
33973,-26.313552243027996,-26.577708953819407,8.0
34067,-14.791965574473835,-14.832900802083536,4.0
34148,-12.52992256926658,-12.443082310638896,3.0
34231,-1.7850568292146498,-1.5600383155296522,0.0
34238,-12.543027452905225,-12.553642102423288,3.0
34322,-5.393603718159168,-5.275534770861168,1.0
34440,-0.9171795736926038,-0.7954517828012226,0.0
34481,-1.4813409710145136,-1.9264951018240979,0.0
34585,-11.786988582650721,-11.907278331920812,3.0
34689,-17.860600733866523,-17.728654219585707,5.0
34905,-28.163879133106022,-28.47703501434534,9.0
34911,-1.7850568292146498,-1.6254974675110851,0.0
34962,-25.598045549156122,-23.934595313920482,6.0
34976,-32.22902202304542,-27.70660432498411,9.0
34979,-15.25304561940855,-14.688030200636248,4.0
35050,-45.2136924974845,-45.787464674931286,14.0
35066,-12.646877188483868,-13.01362508368232,3.0
35120,-18.127297688396578,-18.779813134260426,5.0
35135,-49.91896276929239,-47.92931628450206,17.0
35142,-54.998681669450626,-50.37773153439146,16.0
35153,-11.965232107903978,-11.996726118933804,3.0
35162,-17.699867960763523,-16.90878133867122,4.0
35342,-6.314544397807014,-6.072840590390105,1.0
35356,-8.546653247096,-8.511510494421566,2.0
35374,-29.56473274752278,-28.19898841739257,10.0
35419,-12.137366271909087,-11.92776877878212,3.0
35425,-0.8739092546142408,-0.7284678574751146,0.0
35441,-5.059791560061501,-5.491595758177349,1.0
35660,-1.19970354560459,-1.0696151279923443,0.0
35733,-19.440381155894475,-19.205835582850025,5.0
35804,-15.314886297681761,-13.6643660195321,4.0
36019,-0.894572665053861,-0.7391075047086921,0.0
36199,-11.495840460971307,-11.770047443616054,3.0
36229,-18.660173554619824,-17.98589713937794,5.0
36534,-12.3784661009258,-12.49251670234684,2.0
36554,-17.428787262100208,-17.58945005443894,5.0
36588,-36.08039136072756,-36.34118304031702,15.0
36687,-5.359055045662255,-5.2990161606730535,1.0
36770,-31.543455159184244,-31.746975595498625,12.0
36785,-25.051187241176148,-24.928960779887174,8.0
36805,-16.2191713090941,-15.862820396918075,4.0
36834,-19.984116316710665,-20.090111759931208,6.0
37131,-20.123381006649165,-19.986357906883217,5.0
37136,-26.684679084825866,-26.761697644923395,10.0
37289,-7.416685167543845,-7.04421548775391,1.0
37336,-16.782081030138645,-17.307985920686427,3.0
37697,-8.539242538657922,-8.28255825015867,2.0
37708,-23.769438045045185,-22.601225860911068,7.0
37746,-5.166806559531404,-5.235366496872794,1.0
37784,-5.059830501190934,-5.183459145593383,1.0
37801,-13.004065254186907,-12.931866887048953,3.0
37819,-15.071589152707759,-14.794229501864091,4.0
37996,-2.088772687414786,-1.8400277549449164,0.0
38009,-36.32681487271951,-34.92701283607847,11.0
38028,-11.914242575748082,-12.416280097491791,3.0
38072,-27.694782285550936,-27.37778710152039,6.0
38106,-16.78740001136485,-16.25279188592126,5.0
38175,-39.449160305827284,-35.340228586757306,8.0
38206,-61.0602337384003,-60.33939466500754,25.0
38469,-52.33375002920681,-52.353950895952416,25.0
38582,-84.84318735980827,-87.82714041981576,28.0
38594,-31.166071093568416,-30.044102852381787,11.0
38871,-34.40945240001955,-34.65494244796056,12.0
38918,-76.02610211441976,-74.29775992308863,41.0
38919,-12.35863198528398,-12.400350865579389,3.0
39110,-14.696527844001963,-15.125673966412041,4.0
39139,-6.679235215518727,-6.16754907638275,1.0
39285,-7.555658135017241,-6.594011550155232,0.0
39329,-57.615730118787724,-54.83023646446839,20.0
39385,-5.315150302160157,-5.033565882484393,1.0
39449,-16.95384687361908,-17.38403936472794,5.0
39458,-11.531746004668934,-12.55955253844533,2.0
39488,-3.911067836615605,-3.3832299544264024,0.0
39521,-11.859148385177186,-12.66334809911375,3.0
39590,-12.737701220650733,-12.140520791173255,3.0
39605,-6.33916508780498,-6.469252723400327,1.0
39621,-4.936119141656627,-4.687872781464665,1.0
39678,-3.303636120215332,-3.08762204714486,0.0
39809,-20.037295031010565,-18.053960060518204,3.0
39826,-17.851844898856836,-17.241848474425343,5.0
39889,-5.458133486708735,-5.306603151719591,1.0
39935,-22.294440985637976,-22.954309519729662,7.0
39963,-20.56819124594994,-21.398253472144386,6.0
39965,-9.498241327685568,-9.598546274826926,2.0
40057,-50.27985716741417,-50.791885452314204,20.0
40104,-37.572911195962014,-37.15334731621479,17.0
40131,-20.668942621632443,-20.21883083959186,5.0
40167,-5.047793666435492,-5.256812193711714,1.0
40402,-5.054977870273966,-4.9803876373328215,1.0
40742,-5.192687955297101,-5.342179037006879,1.0
40746,-11.604497200361871,-11.41542056761962,3.0
40777,-15.043449592785612,-14.993382898224887,4.0
40805,-23.490070726697585,-23.717312993687052,6.0
40807,-13.979057936426,-12.108872464884342,3.0
40884,-14.565870463911443,-14.635521036716476,4.0
40938,-31.594512357514557,-30.79425866328493,11.0
41016,-18.21109313813075,-18.686756429766746,5.0
41048,-150.96458246384518,-147.6792781312369,77.0
41098,-46.03163986816981,-46.33704018399669,20.0
41226,-18.670501914658036,-17.448305632821743,4.0
