user_id,ll_personalized_poisson,ll_experimental_1_hawkes,test_purchases,ll_user_scale_hawkes
652806,-22.784707467525458,-22.147998914598052,6.0,-21.511629084191917
652937,-9.470560116916856,-9.239160539219714,2.0,-9.200126995131102
652957,-1.177625112814377,-1.121980055610375,0.0,-0.8694997105473579
653148,-2.9999202620151957,-2.5554639856001353,0.0,-2.4905406107148806
653223,-18.933346065327623,-17.17845264729664,4.0,-17.622792084669722
653336,-8.467903386953616,-8.722168001373143,2.0,-8.814106501862547
653437,-1.177625112814377,-1.0233546573318404,0.0,-0.6787798866195457
653496,-22.871989671346924,-23.46103624416326,7.0,-23.410149188999707
653512,-38.73154394149628,-38.87114625783027,14.0,-38.78758073981171
653545,-21.04489962657312,-21.680430874740757,6.0,-21.874178535860977
653593,-1.4813409710145136,-1.3617230771225786,0.0,-1.3099656144041212
653665,-12.716445580371426,-12.580548786662982,3.0,-12.3780812962366
653692,-2.088772687414786,-2.214176795870089,0.0,-1.95310813293726
653750,-9.914268259948868,-10.181369963371726,2.0,-9.979523959980044
653767,-1.4813409710145136,-1.2247581380561336,0.0,-1.2098057191010043
653787,-14.948665257102547,-14.277563567211484,4.0,-14.691428834094204
653910,-26.504779109407806,-25.398680452872096,8.0,-26.209809484663563
654054,-35.659018922762534,-35.119013235788536,12.0,-35.25613773039519
654058,-2.3924885456149223,-2.1167367197497766,0.0,-1.8288939820525096
654153,-4.518499553015877,-3.8807771969477938,0.0,-3.874777237166057
654497,-40.38060200895116,-40.73016214855031,18.0,-40.88988725963499
654689,-27.2200418064403,-26.62329406180042,9.0,-26.627728772376926
654747,-39.142583489317374,-34.530994139946486,7.0,-40.321187016350784
654774,-1.177625112814377,-1.04554993139762,0.0,-0.6362348005941997
654777,-20.16573621573736,-19.02658287405361,5.0,-19.397882724889783
654789,-16.755777472032715,-17.52079858836961,4.0,-17.812966165008998
654793,-30.30674952494074,-30.44181909418425,11.0,-30.431806429662057
655003,-9.1532001332272,-9.156690606118817,2.0,-9.080776699753647
655407,-12.066249686693034,-11.79841173468014,3.0,-11.748565194792892
655477,-15.838987694620377,-15.655366513064047,4.0,-15.62046478058379
655695,-8.759780415820462,-9.139363164765175,2.0,-9.370308072224798
