user_id,user_scale,train_days
36687,0.7488122722133994,204
36770,0.7405410287901759,207
36785,0.8630290953442454,207
36805,0.857592155225575,207
36834,0.860451846383512,207
37131,0.6912746699526906,207
37136,0.7843675697222352,207
37289,0.9037452237680554,207
37336,0.0,207
37697,0.712278070859611,207
37708,0.6113655446097255,207
37746,0.759628196246922,207
37784,0.8422137331217527,207
37801,0.8935583988204598,207
37819,0.7552991434931755,206
37996,0.6805268255993724,207
38009,0.7660707412287593,207
38028,0.6426486140117049,207
38072,0.2759952796623111,177
38106,0.7834354694932699,207
38175,0.0,207
38206,0.9257866023108363,207
38469,0.8578242128714919,207
38582,1.1059867730364203,23
38594,0.9232647670432925,207
38871,0.8972300635650754,203
38918,0.9119505109265447,207
38919,0.47604001592844725,207
39110,0.8296014601364732,207
39139,0.6702441861853004,165
39285,0.8391605550423265,207
39329,0.8328966749832034,207
39385,0.5107933608815074,207
39449,0.6296348804607987,207
39458,0.5757363652810454,207
39488,0.8297933544963598,207
39521,0.5750965420156717,207
39590,0.42957036290317774,207
39605,0.6157161155715585,207
39621,0.5446444312110543,207
39678,0.5711127677932382,207
39809,0.8473044401034713,207
39826,0.8565220749005675,207
39889,0.838227728381753,202
39935,0.6137278210371733,207
39963,0.8623197069391608,207
39965,0.8140152832493186,207
40057,0.9328147629275918,207
40104,0.8704782137647271,207
40131,0.6916533084586263,207
40167,0.4700305452570319,207
40402,0.0,207
40742,0.5629886360839009,201
40746,0.7345716236159205,207
40777,0.8482008101418614,207
40805,0.6431261217221618,207
40807,0.0,207
40884,0.9002494206652045,207
40938,0.8671694062650204,207
41016,0.8497265726327896,207
41048,0.8270177291706204,207
41098,0.8910813415423036,207
41226,0.5524541810154915,207
41300,0.6490818737074733,207
41415,0.8196047740057111,207
41474,0.8643850544467568,207
41488,0.8764318516477942,207
41492,0.650076805613935,207
41543,0.844355677254498,207
41550,0.6643468048423529,207
41830,0.6810133112594485,207
41838,0.708553483709693,207
41860,0.8950291434302926,207
41910,0.5708458833396435,194
42108,0.6478439271450043,207
42141,0.6862482521682978,206
42190,0.8949269168078899,207
42318,0.5530984792858362,207
42341,0.6617457838729024,207
42456,0.7335708430036902,207
42530,0.9672747040167451,38
42606,0.8035296387970448,207
42766,0.8845409331843257,207
42979,0.7090805936604738,207
43107,0.6722912006080151,196
43159,0.8396534156054258,204
43234,0.8576562674716115,207
43463,0.7906298479065299,207
43498,0.8447285136207938,207
43614,0.7983720256015658,207
43615,0.6271604401990771,207
43787,0.9085127944126725,207
43937,0.8767875516787171,207
43966,0.5404016608372331,207
43969,0.9192190458998084,207
44016,0.9203291917219758,207
44074,0.5975297279655933,207
44075,0.5330437095835805,207
44121,0.6692340271547437,207
44179,0.8244179422035813,207
44264,0.8229431370273232,207
44284,0.8430785359814763,207
44377,0.9071841044351459,207
44400,0.9006595378741622,207
44403,0.7240150589495897,207
44578,0.6391724525019526,207
44731,0.6566138425841928,146
44825,0.678195389918983,204
44840,0.7746417401358485,207
45002,0.0,129
45074,0.0,207
45078,0.7859591813758016,207
45242,0.627523441798985,207
45394,0.7009155489504337,162
45396,0.6391593581065536,168
45397,0.536702973768115,207
45414,0.21394383162260056,207
45543,0.645840703509748,197
45558,0.773378829471767,206
45591,0.7532154070213437,207
45853,0.7857448467984796,207
46043,0.7527755806222558,207
