user_id,ll_personalized_poisson,ll_global_scaled_hawkes,ll_user_scale_hawkes,test_purchases
327455,-15.632828265306866,-15.280392888557968,-15.8148978753505,4.0
327513,-5.0391425226118605,-5.261492753280065,-6.045449836754736,1.0
327706,-32.66597856662885,-33.41414271971408,-33.42452356171909,13.0
327940,-6.310752238212968,-5.175874856787336,-0.024906129244529625,0.0
327963,-37.277813186413454,-35.292660919432464,-35.49416819586392,14.0
328038,-30.94457293840539,-28.838834168699908,-29.497372775444003,10.0
328124,-21.16904020193272,-21.416314137629115,-21.416314137629115,7.0
328127,-15.756059619314527,-15.796025248890011,-15.986746462127442,4.0
328189,-5.277973242871076,-5.374744763119865,-5.222972838053218,1.0
328252,-14.800700820960042,-15.295995273155143,-16.2074808739319,3.0
328265,-28.71677520394391,-27.41546774172451,-28.101360759523896,9.0
328291,-25.4883452111381,-25.5887096745538,-26.28865050164218,9.0
328359,-28.486472247575133,-28.772279967705657,-28.523450544776583,9.0
328372,-25.892000345214534,-25.273589909016852,-26.343479608214714,5.0
328592,-25.235770279793226,-24.941935954582313,-25.052076993951488,8.0
328630,-12.270667912134547,-11.89851878217009,-12.029463178911495,3.0
328675,-15.76147153510127,-15.707980713823847,-16.0567317819806,4.0
328680,-41.32709342776381,-37.396692736609204,-38.005879526829226,14.0
329043,-11.59276761196063,-11.58022314654708,-11.53951525242246,3.0
329134,-35.09442281778368,-34.54818306995409,-36.522464224097575,11.0
329212,-10.33581396776171,-10.018978282022095,-9.805454014508156,2.0
329221,-15.364504379215846,-13.775405564748983,-13.925064664306463,4.0
329282,-50.00446358530827,-49.222460995678674,-49.73060320898665,20.0
329557,-47.45177305097905,-48.84082393800226,-48.86382025427811,17.0
329597,-5.096425746525451,-3.348526363602796,-3.2199013332147786,1.0
329651,-29.949504273873494,-30.081822821580186,-30.06634234665314,11.0
329695,-3.911067836615605,-3.461638128164499,-3.294335054666393,0.0
329724,-5.12593126941615,-4.374535680006633,-4.635982466143847,0.0
329791,-72.06174703907757,-70.20793327224057,-70.54164487060541,32.0
329928,-19.868649801755417,-20.040531984570563,-20.013597929188933,6.0
330004,-25.787487325079805,-25.689763123541983,-25.44601009172804,7.0
330119,-8.932176777250264,-8.962464999404848,-8.836379866746604,2.0
330343,-0.266477538213968,-0.4452100582722557,-0.22770548605640362,0.0
330408,-9.081853640486965,-8.932346703551548,-8.37202523701584,2.0
330667,-33.646719632380126,-32.36115134717739,-35.43297892370061,8.0
330697,-4.274840613468237,-3.7858637555834407,-3.5298831219129223,0.0
330707,-5.590441356899551,-6.1332497182827055,-5.953754393517588,1.0
330814,-8.648353634075246,-8.52023673720884,-8.488147747419857,2.0
330824,-57.920916253938714,-58.37566267654313,-58.94669690228564,24.0
330984,-3.303636120215332,-3.310132882601051,-2.8564871967304435,0.0
330990,-30.76261726024642,-31.282232089366527,-31.135289985682615,12.0
331004,-15.875340628235808,-15.61924660241742,-17.286685177730025,4.0
331016,-8.651239173365523,-8.783588703107833,-8.759022911976317,2.0
331043,-5.690105509494671,-5.575473555273929,-5.605302269093339,1.0
331072,-31.556433019668127,-30.812252995849246,-30.836796254407545,10.0
331141,-11.620893974685885,-11.762674428254407,-11.771951117003852,3.0
331253,-5.06992020324961,-5.083071266925991,-5.085494909308696,1.0
331261,-10.901145657155064,-10.436928106893443,-17.197534036077947,2.0
331435,-18.891131794855408,-18.104379356575564,-19.049289664848562,4.0
331485,-3.9888683025793914,-3.31573881950003,-2.232997851993511,0.0
331547,-11.504873359103398,-11.096867536669516,-11.097098325147996,3.0
331637,-5.078382122905173,-5.173612083167068,-5.167401555848057,1.0
331846,-31.83555163999208,-32.1432176464805,-32.40082671972431,10.0
331925,-4.901205981178988,-4.75125885765476,-4.755777048806202,1.0
331941,-22.73823312284666,-22.904880862409392,-22.94009897161468,6.0
332019,-43.13620093881874,-44.175473775716405,-43.94197466210075,15.0
332215,-28.336104032844837,-26.711530950475254,-27.36491720022688,8.0
332276,-5.196850991484872,-5.50551111771007,-5.476130564073275,1.0
332388,-27.755372020941785,-28.002297628302962,-28.100692048329137,10.0
332428,-1.4813409710145136,-1.6358885416911657,-1.6813026027334432,0.0
332562,-14.989552905472054,-12.957793104725516,-13.197082860798766,3.0
332574,-35.91564400871486,-35.59978577076903,-35.4156279073934,14.0
332581,-27.029443730843795,-25.619983970652328,-26.9060233083523,7.0
332594,-39.43071053506066,-40.80089308632836,-40.59463440207477,12.0
332820,-12.44351043782104,-12.427034692920433,-12.383163514038078,3.0
332902,-4.987300486920761,-4.399214218475257,-4.255972588245907,1.0
332930,-6.1937536161630335,-5.325649734798931,-4.589291567881956,0.0
332935,-24.10029836139421,-24.556528511218996,-24.51091170209921,7.0
332952,-1.177625112814377,-1.2390574863075559,-0.5894019410893343,0.0
332963,-17.5384490198672,-17.204756765104435,-17.184142238038014,5.0
333030,-6.340794702216695,-5.6028898724267,-4.771290021129916,0.0
333431,-49.880548489340974,-48.478254104671954,-49.72797479769969,18.0
333470,-6.399228716827353,-6.156284140026048,-6.059908974594461,1.0
333542,-37.02516938741628,-33.81506214337977,-34.7208699236099,13.0
333544,-8.435856999626008,-8.583007969175789,-8.613317260729117,2.0
333616,-18.532885377385973,-17.40331277060885,-19.60727029337351,5.0
333693,-38.103743728189194,-37.86872459437198,-38.5601946720233,13.0
333706,-8.625808159080137,-7.791984879089643,-7.7852627205374105,2.0
333772,-32.08997715672595,-32.03515794601927,-32.225668180915605,12.0
334006,-1.4813409710145136,-1.4534753830405867,-0.9828898180111655,0.0
334082,-0.9741519850460021,-0.9361620187310915,-0.6559065936198708,0.0
334130,-15.005344767342287,-15.482757260004128,-15.656972903145592,4.0
334151,-8.503362577521159,-8.690204451474143,-8.73729646980157,2.0
334161,-5.4884698796718965,-4.623637604071441,-4.783826929820086,1.0
334218,-11.536051139097037,-11.609526042667378,-11.606062446254535,3.0
334326,-1.4813409710145136,-1.4532004991417502,-1.1953072212410938,0.0
334370,-29.140868910418508,-29.441397828681257,-29.33357881269979,9.0
334415,-17.901888907989758,-17.912676699678457,-18.09130515465697,5.0
334503,-30.95843531731633,-30.866941766534346,-30.738835199381516,12.0
334586,-36.22998426319113,-36.16295238096227,-36.32062595609433,16.0
334819,-5.0244584784860375,-4.658708891524597,-4.483673768889788,1.0
335096,-64.83764727659636,-51.613547068858935,-59.19340037890949,19.0
335136,-1.7200377793845556,-1.4499914842826445,-0.6842742551938074,0.0
335553,-14.324660908009324,-14.55554556055951,-14.862500991895718,4.0
335589,-13.219461181812989,-12.246204408646792,-12.603406792053075,2.0
335601,-19.083766958354897,-18.610931091838992,-19.008189396031376,5.0
335743,-8.680632945165494,-8.9272266105332,-8.989139261760723,2.0
335767,-8.723287906464233,-8.668127622422327,-9.034721059943553,2.0
335792,-5.0416872355907385,-5.151100540011456,-5.249336881205493,1.0
335805,-13.696794354106045,-13.064281249912803,-13.169177499447645,3.0
336026,-3.911067836615605,-3.464011302882364,-2.66651852488255,0.0
336096,-0.5701933964141045,-0.8082241748303827,-0.3428203302940676,0.0
336195,-29.185897971798624,-29.359226910526374,-29.32622203879056,11.0
336429,-39.85680960589685,-38.98426778914518,-38.7475889588144,15.0
336525,-32.365061641500205,-33.2704081609246,-32.895775780921696,10.0
336530,-3.911067836615605,-3.3085679897076345,-2.954550336180134,0.0
336603,-5.134758364183412,-5.256055307561055,-5.244532705308892,1.0
336622,-4.9440726080723705,-4.532911998036382,-4.596297853433949,1.0
336714,-8.907517111554464,-8.928752570538002,-9.433280841023466,2.0
336770,-111.72274585608594,-112.80988339440692,-114.55745896607324,35.0
336854,-7.457337850794151,-6.28279624967992,-6.880151800785771,0.0
337200,-22.573244699733177,-21.467288032056427,-21.43468581643925,7.0
337229,-12.530194446870548,-11.106938702699075,-10.936970730324106,3.0
337452,-36.35981988727049,-37.55280107865938,-37.28870447281483,12.0
337459,-10.729703393039994,-8.984500665221049,-9.635459872759807,2.0
337481,-18.007056863192886,-17.895136338498116,-18.063386674964647,5.0
337620,-14.351696831050933,-14.72620678079071,-19.329006239576476,3.0
337901,-2.4806846859458114,-2.036429279486352,-1.965732754075263,0.0
337910,-15.371681677564759,-15.522053025133273,-15.224772362101268,4.0
338069,-4.927231030884438,-4.977455968603438,-4.859529544898004,1.0
338076,-1.7850568292146498,-1.5367546340954261,-1.4564353283937468,0.0
338108,-13.411485146852643,-12.935689328984134,-12.663175194531332,3.0
338183,-5.142837589850308,-5.139434415306279,-5.105416993505263,1.0
338185,-44.073700184497966,-43.031985645868836,-43.74586237998428,14.0
338250,-75.00688879904034,-72.68207263995875,-74.08914779373137,32.0
338277,-1.4813409710145136,-1.2140999889018518,-0.6824445374386379,0.0
338278,-30.651427509441028,-30.307168598208907,-30.484511072956675,7.0
338291,-10.655447377235962,-10.404045117063875,-10.179746205119326,2.0
338301,-64.40433665451293,-60.68408812842949,-69.19021262340966,10.0
338311,-2.3924885456149223,-2.0061006385445403,-2.013234667917595,0.0
338503,-0.8739092546142408,-0.7784225109000801,-0.6978053015894438,0.0
