user_id,ll_personalized_poisson,ll_experimental_1_2_hawkes_hl1,test_purchases
17838,-2.3924885456149223,-2.241671392063703,0.0
17863,-8.740436560727746,-8.57446475652676,2.0
17920,-23.40393327332484,-21.099076039739746,2.0
17932,-7.9875274753965595,-7.59423531160748,1.0
17991,-21.71605077828469,-21.46283062533993,7.0
18119,-42.350096079065075,-43.62585891121135,13.0
18187,-15.309123321932631,-15.526052727576754,4.0
18267,-10.541363552401569,-10.862013794305664,2.0
18268,-25.601173281427954,-24.753786359659575,8.0
18345,-18.833985930531576,-18.955636954872816,5.0
18402,-12.337376985854991,-12.626320433634438,3.0
18519,-12.232208060013074,-12.863776307585978,3.0
18566,-11.681267254360417,-11.92859333310569,3.0
18853,-52.562176581930046,-51.72764816461617,18.0
18929,-4.2147836948157416,-3.640813280236208,0.0
18945,-41.20483326338436,-41.919089204325594,12.0
19029,-29.047306673680204,-27.598058818865653,7.0
19200,-31.874611055807897,-32.187173912369154,11.0
19260,-5.010196454677137,-5.040838510620857,1.0
19277,-14.994362296504672,-15.330276423722191,4.0
19293,-30.641397287664116,-30.6629571003436,12.0
19325,-335.1331673509709,-276.241144486045,108.0
19532,-46.27692502574474,-46.30721459778686,16.0
19687,-17.806581982551872,-16.736208770481888,5.0
19734,-10.874869831347851,-10.669191875811741,2.0
19792,-4.929054647377197,-5.038674607565637,1.0
19814,-20.080868829221398,-20.671976910988977,6.0
19905,-8.510386927810512,-7.558149419038438,2.0
20014,-14.575432238263348,-13.176543192980073,3.0
20026,-28.396676535755905,-29.556630433279114,7.0
20107,-23.894151080050406,-22.15038636568409,6.0
20293,-33.99682963594414,-31.429702605839505,9.0
20416,-14.528400621468371,-14.148783725286329,4.0
20426,-24.307795181591,-24.824786317906867,7.0
20473,-5.4296471276162865,-4.79531865250338,0.0
20569,-1.177625112814377,-1.2755602592121702,0.0
20598,-119.35471205888616,-121.38749975847121,58.0
20768,-14.23740701542024,-12.362402967025272,0.0
20776,-20.336440831319642,-20.902717981614053,6.0
20888,-10.2002725185414,-10.40145932118476,2.0
20971,-44.51333041144796,-45.02268987038958,16.0
20981,-9.031574941394886,-8.976005436204188,2.0
21033,-25.011252369478825,-24.352418127289813,8.0
21056,-0.2788113642509729,-0.2392738466647192,0.0
21277,-12.36906266177575,-12.32550051112095,3.0
21339,-70.29391900085683,-69.000649892538,15.0
21403,-5.083147690892124,-5.622541706945346,1.0
21455,-18.762153206722832,-18.85499096750734,5.0
21600,-31.844268389919037,-32.3680514215099,12.0
21659,-19.065572322286076,-19.03299649145615,6.0
21720,-27.747425665060803,-25.207186359088503,8.0
21817,-11.866117156610507,-10.781298325235873,1.0
21867,-8.967099111149569,-8.919556225749313,2.0
22023,-42.79495228380413,-42.4140441595499,17.0
22033,-11.550677573774461,-11.736581770972407,3.0
22044,-1.177625112814377,-1.1441303604607858,0.0
22072,-28.14481149120515,-27.730645379257894,9.0
22188,-67.30964390976341,-65.60714516497906,27.0
22226,-68.40878773211944,-64.84990065280931,23.0
22235,-15.151983915214347,-14.420454931046,3.0
22348,-0.8739092546142408,-0.9685063846134717,0.0
