user_id,ll_personalized_poisson,ll_e1,test_purchases,ll_e12
656325,-5.166806559531404,-5.247347203537823,1.0,-5.153924916537954
656388,-34.733630012987064,-31.362690668009048,6.0,-32.89144970463761
656408,-16.67209634426506,-16.37806268950109,4.0,-16.426618606771935
656614,-44.294962596881184,-42.44256634825475,15.0,-42.401401685881474
656677,-58.83505904946192,-56.32544418311709,19.0,-56.67755628684426
656708,-13.283689225065018,-12.882456596013412,3.0,-12.823216038857437
656841,-69.4173327206568,-67.40143576418807,35.0,-67.5508727535881
657037,-47.63981841706355,-43.35514964672641,8.0,-46.17225359070728
657134,-11.334217167828175,-10.596241235722106,2.0,-10.807597226859064
657240,-20.98767673030295,-21.55077414559191,6.0,-21.47779544041334
657377,-11.503964291619017,-9.743000701368857,0.0,-10.205165488672764
657385,-22.029842169011204,-22.547995335765155,7.0,-22.588087268824903
657630,-26.574523231374325,-27.755173476041595,6.0,-27.39126818673874
657661,-0.8739092546142408,-0.9714175701173798,0.0,-0.9887026223026812
657704,-29.854897778844137,-28.303996828651293,8.0,-28.576168669671222
657722,-7.21756505662018,-6.9389495255408455,1.0,-7.059153207019699
657760,-61.46881241799727,-60.73540779982796,27.0,-60.9618874255152
657790,-5.009154747666586,-5.3647005309114375,1.0,-5.323690660278751
657841,-23.88430702513621,-21.562012302728483,4.0,-22.011658167003795
657979,-5.690105509494671,-5.419459714042665,1.0,-5.4444332941397136
658088,-5.872771822251384,-5.919228116893999,1.0,-5.907007780315209
658186,-53.23517786512343,-49.10809448863878,19.0,-50.063180301919125
658204,-22.028893195019492,-22.051819722887473,7.0,-22.004058429469687
658209,-4.973140657369677,-4.714028233233857,1.0,-4.689719022837836
658241,-15.911613330927484,-15.623982522660167,4.0,-15.738962445512245
658278,-49.30680344554507,-44.77184944993469,13.0,-46.489054223493355
658455,-2.088772687414786,-2.021376875898466,0.0,-2.078632891417388
658471,-1.177625112814377,-1.1415168055175473,0.0,-1.1772612442368744
658475,-36.48703174725168,-36.20692070849616,9.0,-36.17886626665085
658547,-5.733362985816423,-4.955791392944675,0.0,-5.1880078547437485
658549,-18.30684942909353,-17.880506351896774,5.0,-18.064455312421856
658744,-5.492552221741192,-2.709302783423273,1.0,-2.675496126980844
658878,-44.207815783671656,-39.7904495404811,11.0,-40.10749991878996
658945,-17.569815541438903,-17.317969872023404,5.0,-17.37899872277504
658994,-23.239874656903503,-22.8809744649366,8.0,-22.888764358693173
659003,-41.5681683563623,-38.99483280804687,12.0,-39.609528087068334
659041,-8.776869499150742,-8.974085956532335,2.0,-8.93403466193701
659051,-107.46061518363176,-104.52894058973077,26.0,-106.43852561098208
659087,-27.51449769964362,-26.853253653706616,9.0,-26.699521965018715
659144,-8.146328026607891,-7.995352604494504,1.0,-8.153952160421076
659230,-22.37414284118028,-22.58734310461137,7.0,-22.66607529257981
659311,-9.519587180926177,-9.319259597881189,2.0,-9.344325760676115
659418,-14.492377773558596,-13.92872020911494,3.0,-14.00374808623839
659456,-109.81936006320268,-98.62328790132402,39.0,-100.99742568116224
659810,-7.5636612693836,-6.204636962938347,0.0,-6.491712643612568
659961,-8.63334780162147,-8.808402722074133,2.0,-8.823905498387454
659980,-19.542296574816397,-19.742673426221433,6.0,-19.694403286146567
660050,-32.522620156339364,-29.350773897364352,10.0,-29.69308189636992
660258,-21.400714100188452,-22.04045064890764,5.0,-22.276855869434954
660294,-11.529818308817084,-11.234880855998131,3.0,-11.224903527074945
660352,-5.617583583820284,-10.197862515303418,1.0,-10.296005801555266
660368,-14.766871817389664,-15.102045020744695,4.0,-15.188607229313977
660637,-31.18989606247051,-31.722264076482073,10.0,-31.910955072715723
660664,-43.52166211874653,-43.11750644749813,18.0,-42.78884047262374
660717,-13.509178505578726,-13.60145506905624,3.0,-13.567784654619294
