user_id,ll_pooled,ll_pers,test_purchases,delta_ll
28272,-17.87484402511448,-21.7172277180905,6.0,3.842383692976018
28335,-12.88127220811415,-15.301783710490652,4.0,2.4205115023765007
28375,-2.2744092869590924,-2.9172432214727197,0.0,0.6428339345136274
28432,-9.439252183944156,-8.733998597143316,2.0,-0.7052535868008398
28436,-2.1704431433352487,-3.607351978415468,0.0,1.4369088350802195
28489,-14.769878714859363,-15.316894143489584,4.0,0.5470154286302211
28523,-18.569458252627722,-21.9483096765468,5.0,3.378851423919077
28525,-11.659789112227523,-15.322988180151642,3.0,3.6631990679241184
28572,-57.68264910086181,-58.655878291598135,25.0,0.9732291907363262
28582,-9.658378083636808,-9.590306930023576,2.0,-0.06807115361323213
28653,-62.612764869928014,-61.43134129904262,22.0,-1.1814235708853928
28700,-16.500596068321727,-23.889534706604802,6.0,7.388938638283076
28830,-13.627280823195601,-13.33998766322955,3.0,-0.2872931599660511
