user_id,ll_pooled,test_purchases,ll_experimental_1_hawkes
28582,-9.658378083636808,2.0,-9.562454460285492
28653,-62.612764869928014,22.0,-59.84201341148071
28700,-16.500596068321727,6.0,-21.747349315550697
28830,-13.6272808231956,3.0,-13.194252501467616
28876,-24.54898585746175,8.0,-23.76142899950242
28991,-71.72636076754472,18.0,-85.4272545995039
29136,-21.84244435643025,6.0,-20.720508203137666
29244,-31.89236977270492,11.0,-30.18806452534045
29253,-13.334811020593843,2.0,-11.02061687411296
29410,-20.134797397049105,4.0,-17.955457835783537
29468,-18.41772880499353,5.0,-17.48745230053809
29642,-2.242191261343269,0.0,-2.271190709303847
29769,-12.736447817162734,3.0,-11.992674421395
29896,-2.0446244911933245,0.0,-1.478372116919687
29989,-29.95870833431717,9.0,-32.951155503144705
30072,-6.241993453647084,1.0,-9.701263533572746
30128,-35.185432297056664,12.0,-32.429534504780335
30244,-14.47023626557448,4.0,-13.977324796875015
30370,-5.686007020031367,1.0,-4.982361614022876
30375,-9.257057464239644,2.0,-8.7974666032917
30399,-2.009065834717249,0.0,-0.7219979448665809
30427,-2.070980179537663,0.0,-1.25891881593615
30586,-25.725384701460595,12.0,-31.76397186261019
30612,-18.41914943791683,6.0,-18.531929952735872
30945,-66.53471909391405,23.0,-66.01425795447216
30954,-2.6491765378712664,0.0,-0.9615062608176044
31047,-12.054206977359677,3.0,-13.688918122606232
31090,-53.63418227649913,21.0,-51.512996359852615
31207,-23.075481341492104,7.0,-23.98980454083303
31683,-13.58587496416532,3.0,-16.583343154262213
31877,-3.0657781923871714,0.0,-2.183440986033083
31890,-66.32556847085789,16.0,-55.49536776860882
31904,-33.9655036707856,10.0,-36.30187668913617
31909,-23.36461288921012,6.0,-22.50460228182141
32022,-62.76094015589233,21.0,-66.45333115990601
32091,-48.64695209073789,21.0,-48.047973106158025
32113,-6.680800827921382,1.0,-7.600736414730412
32224,-9.399804481618878,2.0,-8.82363166298337
32226,-23.200671878261467,7.0,-22.59749324849469
32235,-22.814045577860306,7.0,-23.071136475191395
32275,-5.714327729977582,1.0,-5.075879742186181
32319,-5.506288605868576,1.0,-4.886984840653249
32378,-33.68815178797202,9.0,-33.08734103159268
32517,-7.0036590000464445,1.0,-6.190513201001007
32559,-16.7539704959257,6.0,-27.289651699692328
32644,-2.2580226776547203,0.0,-1.0760525477572795
32765,-30.72067616472514,8.0,-28.952810028983414
32923,-32.10667324951833,12.0,-29.949535005718488
32957,-3.471407038697777,0.0,-3.491624503488732
33030,-9.24630390948106,2.0,-9.31795052016155
33266,-2.6763946687841464,0.0,-3.676588981370028
33285,-17.973851237952044,5.0,-18.295389648530296
33680,-36.24590488335412,11.0,-33.808741193430194
33688,-35.86482545868082,11.0,-32.89761260226804
33695,-15.461416829769972,4.0,-14.617104588357885
33787,-2.178314437402596,0.0,-1.7721154570528266
33973,-31.009361835371873,8.0,-26.577708953819407
34067,-14.738136064677356,4.0,-14.832900802083536
34148,-13.005049061496434,3.0,-12.443082310638896
34231,-2.31885735320901,0.0,-1.5600383155296522
34238,-13.184077209478907,3.0,-12.553642102423288
34322,-5.594539157722289,1.0,-5.275534770861168
34440,-1.540725311985028,0.0,-0.7954517828012226
34481,-4.450299662877971,0.0,-1.926495101824098
34585,-12.7411901028944,3.0,-11.907278331920812
34689,-17.94363564899268,5.0,-17.728654219585707
34905,-30.215810858210613,9.0,-28.47703501434534
34911,-2.4833996038866872,0.0,-1.6254974675110851
34962,-19.250898573647127,6.0,-23.93459531392048
34976,-25.756993896123767,9.0,-27.70660432498411
34979,-16.193975593815253,4.0,-14.688030200636248
35050,-56.60904397936387,14.0,-45.787464674931286
35066,-13.567522818523434,3.0,-13.01362508368232
35120,-19.675136173930586,5.0,-18.779813134260426
35135,-48.32664686675688,17.0,-47.92931628450206
35142,-42.85322913099527,16.0,-50.37773153439146
35153,-11.715015428720012,3.0,-11.996726118933804
35162,-15.92161105711725,4.0,-16.90878133867122
35342,-6.037699264130968,1.0,-6.072840590390105
35356,-9.24510739581958,2.0,-8.511510494421566
35374,-27.474068773198255,10.0,-28.19898841739257
35419,-12.068257443010332,3.0,-11.92776877878212
35425,-2.032561220069808,0.0,-0.7284678574751146
35441,-6.5090167291526475,1.0,-5.491595758177349
35660,-2.2602279991263563,0.0,-1.0696151279923445
35733,-19.393091580814836,5.0,-19.205835582850025
35804,-13.796711100809723,4.0,-13.6643660195321
36019,-2.0171557695167466,0.0,-0.7391075047086921
36199,-12.669285939706484,3.0,-11.770047443616054
36229,-17.62018645555312,5.0,-17.98589713937794
36534,-11.89974958714959,2.0,-12.49251670234684
36554,-18.949929860446716,5.0,-17.58945005443894
36588,-36.65421002972783,15.0,-36.34118304031702
36687,-5.7904745870825245,1.0,-5.2990161606730535
36770,-35.47554576211977,12.0,-31.746975595498625
36785,-25.13403905058859,8.0,-24.928960779887177
36805,-15.271562597325987,4.0,-15.862820396918076
36834,-21.950111812420193,6.0,-20.090111759931208
37131,-19.91885519764744,5.0,-19.986357906883217
37136,-27.20076898257995,10.0,-26.761697644923395
37289,-6.320696271717593,1.0,-7.04421548775391
37336,-13.757002347637158,3.0,-17.307985920686427
37697,-9.520854569204884,2.0,-8.28255825015867
37708,-21.43859211939205,7.0,-22.601225860911068
37746,-5.991810762047889,1.0,-5.235366496872794
37784,-5.878786536930806,1.0,-5.183459145593383
37801,-13.538189289706365,3.0,-12.931866887048953
37819,-15.076185045981964,4.0,-14.794229501864091
37996,-2.297120969807682,0.0,-1.8400277549449164
38009,-32.78686107643293,11.0,-34.92701283607847
38028,-12.92501290744959,3.0,-12.416280097491793
38072,-23.30842226482369,6.0,-27.37778710152039
