user_id,ll_personalized_poisson,ll_experimental_1_additive_hawkes,test_purchases
721121,-4.2147836948157416,-4.495817323753401,0.0
721140,-20.056715462597563,-19.983451409899715,6.0
721170,-16.023843013927127,-16.064470571829013,3.0
721238,-9.603618755574052,-8.772892764429091,2.0
721313,-2.088772687414786,-2.1401982015360295,0.0
721338,-5.1522177767888815,-5.236941816532714,1.0
721403,-26.03198560961708,-22.68428101026332,6.0
721514,-0.3412768363418131,-0.40713830977053833,0.0
721542,-4.913466665636709,-4.798805968176336,1.0
721579,-2.371003073525983,-2.3974082829333234,0.0
721853,-23.720815553341925,-23.721822516908208,8.0
721856,-45.56972325963577,-44.658294654950495,19.0
721969,-10.518454257006482,-10.678303347406207,2.0
722070,-2.9999202620151957,-3.090402586942386,0.0
722178,-8.453909667610974,-8.48561392368306,2.0
722258,-8.583614891116799,-8.676811810769742,2.0
722462,-6.937288987637553,-7.064494574501985,1.0
722517,-22.328726053169166,-21.761891214905617,7.0
722573,-115.16670526577843,-111.04209004015455,47.0
722630,-43.09594402365089,-40.45499222258404,13.0
722651,-12.833380355873803,-12.925434038136647,3.0
722655,-39.476470897801995,-40.13994113409037,15.0
722801,-10.805768499617473,-8.176250807625545,2.0
722876,-22.814889819174475,-22.5591602896023,7.0
722880,-59.2894117570713,-59.728974397334184,29.0
722986,-19.81131710008971,-19.996530748944625,6.0
723376,-47.00209812856601,-46.847652493161675,16.0
723418,-6.839280170970447,-7.009926362026641,1.0
723648,-2.088772687414786,-2.164996895139062,0.0
723687,-9.021887157136739,-9.42027327267551,2.0
723903,-10.735109286106415,-10.849754579859866,2.0
723915,-1.7850568292146498,-1.8672118027590265,0.0
723939,-21.815959684488817,-20.322522524371887,6.0
723986,-67.34004050884286,-64.40321918034876,28.0
724013,-31.607618337793006,-31.9247305430045,9.0
724126,-0.5701933964141045,-0.6788420492932713,0.0
724165,-5.836719170097159,-6.037717465063129,1.0
724193,-9.269872945483128,-9.359618525945208,2.0
724212,-11.702647856449824,-11.864868214571635,3.0
724246,-9.20605756064732,-9.427623129057922,1.0
724291,-17.529484873344607,-17.652087760094368,5.0
724451,-11.617767360309191,-11.775028135484503,2.0
724590,-75.5995149166155,-75.16079277835544,45.0
724608,-8.631542701655361,-9.018488114444615,2.0
724872,-32.884367935181054,-31.684567893134876,12.0
724989,-42.333719805321344,-40.59846349804593,15.0
725116,-15.71142090074619,-15.892477693822489,4.0
725153,-40.00970477945043,-40.19473308083156,12.0
725212,-28.503117015109794,-26.11083115436373,5.0
725214,-44.81867659707413,-40.966150663515975,13.0
725219,-5.011761635037316,-5.081162422337651,1.0
725398,-37.47179065122606,-36.84230040443498,14.0
725501,-37.7152322942484,-38.05010683089528,10.0
725540,-21.440752240164446,-21.711892739141707,6.0
725618,-47.71863633320436,-45.74178348938467,19.0
725679,-2.3924885456149223,-2.4172354738904227,0.0
726133,-21.191037590281763,-21.436688926515888,5.0
726430,-8.797668575402646,-9.07756010035908,2.0
726519,-4.9791700905721905,-4.719244447410744,1.0
726520,-21.542150063902127,-21.78584865628008,5.0
726663,-10.328242124462847,-10.486545993166896,2.0
726707,-18.85828815758588,-18.488017822700417,5.0
726727,-5.011761635037316,-5.412604415923735,1.0
726825,-9.719660857604055,-10.30285440635639,1.0
727099,-17.361996787198315,-17.51070035326062,3.0
727110,-10.00966733884509,-10.225953021267028,2.0
727285,-27.416955452460822,-27.480352893638774,10.0
727439,-77.8469507144642,-71.324721853987,16.0
727515,-2.1938428221547297,-2.245009321302869,0.0
727521,-14.273776108306567,-14.490357014169659,4.0
727590,-8.975253589761573,-9.045427923466997,2.0
727641,-17.390274885372854,-17.91731282683342,5.0
727643,-31.231141945220195,-29.13759502852939,11.0
727785,-9.68474757685442,-8.928180219426295,2.0
727811,-15.624211294942771,-15.556355951679429,4.0
728051,-28.376215689265905,-28.743207828481815,3.0
728065,-0.8739092546142408,-0.9533415663426967,0.0
728090,-15.897945257235149,-13.788605653312857,3.0
728205,-31.503677573046645,-29.474659714466956,6.0
728248,-45.9717342958018,-45.09274203069696,19.0
728486,-38.50994294399469,-38.84260673695245,14.0
728505,-21.286157262362398,-21.25712959696391,6.0
728524,-28.446375164324838,-26.067799137085483,7.0
728551,-1.6488634972337992,-1.8733531708301836,0.0
728583,-14.581529870634677,-14.686541976670956,3.0
728737,-1.1890894381572672,-1.2523033280297604,0.0
728772,-1.4813409710145136,-1.6162050968244523,0.0
728775,-35.43397605956104,-34.9168845910397,12.0
728828,-9.506308418961362,-9.665551869814829,2.0
729086,-11.584773990188259,-11.734307241824322,3.0
