lambda_l2,target,source,alpha,lam_u_mean,mean_baseline_train,mean_hawkes_train,hawkes_train_nll,hawkes_test_nll,delta_train,delta_test
1.0,to_ord,to_ord,0.03157043634339975,0.7380321271524284,0.07580093640422446,0.022707562662439285,0.3161525183712847,0.3998954117296008,-7.868724069498567e-05,-0.009692660619125326
2.0,searches,searches,0.1366704841756197,0.6993681294269808,0.8459674782607749,0.34912127658216624,1.8586409799021588,2.0916657405941574,-0.053360799870323605,-0.16025880135840742
2.0,searches,to_cart,0.02732140852005669,0.6993681294269808,0.8459674782607749,0.34912127658216624,1.8586409799021588,2.0916657405941574,-0.053360799870323605,-0.16025880135840742
2.0,searches,to_ord,0.0,0.6993681294269808,0.8459674782607749,0.34912127658216624,1.8586409799021588,2.0916657405941574,-0.053360799870323605,-0.16025880135840742
2.0,to_cart,searches,0.014154366147442704,0.7052660707005508,0.2643631328277739,0.10157891676744982,0.8358204128748753,0.9844763153664977,-0.009230934586289541,-0.047672527986543534
2.0,to_cart,to_cart,0.0902968023580929,0.7052660707005508,0.2643631328277739,0.10157891676744982,0.8358204128748753,0.9844763153664977,-0.009230934586289541,-0.047672527986543534
2.0,to_cart,to_ord,0.0,0.7052660707005508,0.2643631328277739,0.10157891676744982,0.8358204128748753,0.9844763153664977,-0.009230934586289541,-0.047672527986543534
2.0,to_ord,searches,0.004941854669527566,0.6871509546110505,0.07032141935790519,0.025544856274011596,0.3180550991468614,0.39891364047110667,0.0018238935348817154,-0.010674431877619461
2.0,to_ord,to_cart,0.0058831325386890935,0.6871509546110505,0.07032141935790519,0.025544856274011596,0.3180550991468614,0.39891364047110667,0.0018238935348817154,-0.010674431877619461
2.0,to_ord,to_ord,0.04524219840966695,0.6871509546110505,0.07032141935790519,0.025544856274011596,0.3180550991468614,0.39891364047110667,0.0018238935348817154,-0.010674431877619461
5.0,searches,searches,0.14279235091307005,0.6861759989097044,0.8288692385494032,0.3618888622552078,1.8601241990023858,2.0888984162107924,-0.05187758077009663,-0.16302612574177244
5.0,searches,to_cart,0.024707348563976862,0.6861759989097044,0.8288692385494032,0.3618888622552078,1.8601241990023858,2.0888984162107924,-0.05187758077009663,-0.16302612574177244
5.0,searches,to_ord,0.0,0.6861759989097044,0.8288692385494032,0.3618888622552078,1.8601241990023858,2.0888984162107924,-0.05187758077009663,-0.16302612574177244
5.0,to_cart,searches,0.014438728602671317,0.6715397037285227,0.2514835016606038,0.10869028979446203,0.8369537034084742,0.9821877486731978,-0.008097644052690645,-0.04996109467984344
5.0,to_cart,to_cart,0.09889017624516605,0.6715397037285227,0.2514835016606038,0.10869028979446203,0.8369537034084742,0.9821877486731978,-0.008097644052690645,-0.04996109467984344
5.0,to_cart,to_ord,0.0,0.6715397037285227,0.2514835016606038,0.10869028979446203,0.8369537034084742,0.9821877486731978,-0.008097644052690645,-0.04996109467984344
5.0,to_ord,searches,0.004847813908577456,0.6819907823701565,0.06971210392389916,0.027606975044268713,0.3209819513619296,0.3999826348480377,0.004750745749949881,-0.00960543750068843
5.0,to_ord,to_cart,0.006141054198487208,0.6819907823701565,0.06971210392389916,0.027606975044268713,0.3209819513619296,0.3999826348480377,0.004750745749949881,-0.00960543750068843
5.0,to_ord,to_ord,0.05548012975592684,0.6819907823701565,0.06971210392389916,0.027606975044268713,0.3209819513619296,0.3999826348480377,0.004750745749949881,-0.00960543750068843
