interval_start,train_end,test_start,test_end,test_rows,Global Poisson,Rolling Poisson,Rolling Seasonal,Personalized Gamma-Poisson,Scaled-baseline Hawkes,Scaled-baseline Hawkes_alpha_norm,Scaled-baseline Hawkes_c,Scaled-baseline Hawkes_m_u_mean,Joint Hawkes (λ_u + α),Joint Hawkes (λ_u + α)_alpha_norm,Joint Hawkes (λ_u + α)_m_u_mean,Joint Hawkes (λ_u + α)_lambda_median,Pooled Hawkes (c·b_t + α^T s),Pooled Hawkes (c·b_t + α^T s)_alpha_norm,Pooled Hawkes (c·b_t + α^T s)_c,Pooled Hawkes (c·b_t + α^T s)_m_u_mean,GBDT (experimental),n_days,m_idx
2025-07-29,2025-08-07,2025-08-08,2025-08-12,49476,0.4296078757304548,0.42950881569673677,0.4291547016219121,0.40754682971035844,0.40754682972360357,0.0,1.0000000028581668,1.0515959365114027,0.38686490621405656,0.04905537061938966,0.7612250506447711,0.4583119079965889,0.3787392539078614,0.07547869943391577,0.33224400678596266,0.33224400678596266,0.3649000723054589,15,32
2025-08-02,2025-08-11,2025-08-12,2025-08-16,49487,0.4542651598528696,0.45420190289120116,0.4541648821716883,0.43458925166902723,0.4345892515303642,0.0,0.9999999599040623,1.0423078426736525,0.4092434698459417,0.047657181467592076,0.7495225718184548,0.4382505219391758,0.39989007347288436,0.07355659717868632,0.31467596347720256,0.31467596347720256,0.38848822661067445,15,33
2025-08-05,2025-08-14,2025-08-15,2025-08-19,49488,0.45566163879675087,0.4556001237046811,0.4555365074197782,0.42919746777504353,0.4291974677886586,0.0,0.9999999577681866,1.0627157979624788,0.40751296158597444,0.05271762438362341,0.7456534676608226,0.42168503842286775,0.4012483707670259,0.076056380802144,0.3209687991406095,0.3209687991406095,0.3904092820161826,15,34
2025-08-14,2025-08-23,2025-08-24,2025-08-28,49455,0.4813175442695889,0.4812659950059813,0.48176423751234093,0.455052093445002,0.4550520937138231,0.0,1.0000000302209968,1.031451688110746,0.4325718476514364,0.04896139473244491,0.7168585979504015,0.36004271523530457,0.425182474486024,0.07868104196797002,0.3161583877813871,0.3161583877813871,0.412761699560441,15,35
2025-08-18,2025-08-27,2025-08-28,2025-09-01,49451,0.457430897419003,0.45723040861731634,0.45732441241715355,0.4315148967695946,0.4315148966524605,0.0,0.9999999898189443,1.0340637579093863,0.4120344668610266,0.04999697115293752,0.7196817976891161,0.3556895808727404,0.4046348500445142,0.08006328044063393,0.3145686749192248,0.3145686749192248,0.3911768353384553,15,36
2025-08-20,2025-08-29,2025-08-30,2025-09-03,49439,0.44228876766910646,0.44207147760013826,0.4422600056006297,0.4225537870400399,0.42255378710852476,0.0,1.0000000060561351,1.0142559347594458,0.40216370980630184,0.04796867545622085,0.7140717686320662,0.35006986327732603,0.39509426736194087,0.078277191960783,0.3073259109749474,0.3073259109749474,0.38285050888490435,15,37
2025-09-04,2025-09-13,2025-09-14,2025-09-18,49253,0.4512571793965897,0.4511703856218841,0.4514871568171764,0.43119902150000017,0.4311990214438933,0.0,0.9999999781216726,1.0024737346416341,0.409552862919399,0.05470386867160382,0.7232422607893673,0.39926384144987453,0.4007537179594524,0.08501381846834877,0.27889838023644253,0.27889838023644253,0.39003483170875247,15,38
2025-09-11,2025-09-20,2025-09-21,2025-09-25,49137,0.4707428388205945,0.4707022026125353,0.47089258318286265,0.44606144013072263,0.44606144017144067,0.0,0.9999999910679982,1.0089229090667415,0.4251089762827149,0.04927394389566377,0.7248089337075904,0.3686662579644514,0.41628306738288473,0.07547339573113518,0.304646812712363,0.304646812712363,0.40636865029714064,15,39
2025-09-16,2025-09-25,2025-09-26,2025-09-30,48963,0.4556753134330151,0.4556746949771619,0.4557494986459198,0.42149159453886637,0.4214915930228531,0.0,0.9999997675846455,1.0196810484368042,0.40758641507828475,0.050754971811666584,0.7335325004568857,0.37966253041421616,0.4014023802226496,0.07972095163196415,0.3241888921855617,0.3241888921855617,0.38755089020709227,15,40
2025-09-17,2025-09-26,2025-09-27,2025-10-01,48923,0.4602760890440209,0.46023700633113634,0.46045848560444963,0.4230945829474545,0.42309458318152726,0.0,1.0000000470755275,1.0044041311253018,0.41173975487124115,0.04702638679467505,0.7264481580378481,0.3693838109347184,0.40547764921525903,0.07883188804204669,0.322293001525398,0.322293001525398,0.3925547046534695,15,41
2025-09-24,2025-10-03,2025-10-04,2025-10-08,48516,0.4553678807299623,0.4554965800609865,0.45532343849426055,0.42416498525214913,0.4241649850787263,0.0,1.0000000392617487,0.9741081946934567,0.4098019408377361,0.04843640448190154,0.7035234442696806,0.34256859432409825,0.4020950698554876,0.08343342160647957,0.2864300526187399,0.2864300526187399,0.39185207783176496,15,42
2025-10-02,2025-10-11,2025-10-12,2025-10-16,47553,0.4327922469203908,0.435287690222208,0.43816065587494685,0.41539859127654094,0.4153985910833328,0.0,0.9999999839676034,1.011752639140148,0.4027979372140644,0.05034012119682792,0.7353373105621627,0.3793633611043948,0.3939800687053061,0.08258980097516494,0.3173894540904449,0.3173894540904449,0.3771292224301887,15,43
2025-10-04,2025-10-13,2025-10-14,2025-10-18,47113,0.5006078806375651,0.5005741563407005,0.4989950465734172,0.47158285364752683,0.4715828545531885,0.0,0.9999999526857154,0.942025721330289,0.45868124461369947,0.041301086964890106,0.7248488685727151,0.3788630641459744,0.45016606561110084,0.07753557523561719,0.3227084487283484,0.3227084487283484,0.4958810300028245,15,44
2025-10-06,2025-10-15,2025-10-16,2025-10-20,46627,0.420863347960994,0.42229659378412365,0.43151758354698705,0.406771907140262,0.4067719065384587,0.0,0.9999997519521345,1.0004315393950984,0.3926366785826,0.04553308001069663,0.7409186122859556,0.38926892826201237,0.3842671194637016,0.08073333200795485,0.3418854152122993,0.3418854152122993,0.4010495600251386,15,45
2025-10-08,2025-10-17,2025-10-18,2025-10-22,46020,0.43166296889082223,0.43288626569903854,0.5027992510036381,0.4804695696251121,0.4804695696208015,0.0,1.000000008851023,1.0115366373594825,0.43187053797370345,0.03760636808275469,0.7586323649072201,0.39590390667158165,0.40285876075721905,0.07805037909821036,0.3967491553723989,0.3967491553723989,0.4538598709646202,15,46
2025-10-09,2025-10-18,2025-10-19,2025-10-23,45608,0.4279660342845609,0.4291280256746386,0.5001121476116077,0.48154705680870147,0.4815470565553254,0.0,0.9999999109033311,1.0210641371306237,0.4303746360240397,0.036751229087477376,0.7638560555761815,0.3977656337832535,0.4001213186666155,0.07801130650671294,0.41061441964006723,0.41061441964006723,0.44474139890212544,15,47
2025-10-11,2025-10-20,2025-10-21,2025-10-25,44496,0.494303839199102,0.4927683315421329,0.4922079855403981,0.47367030620716094,0.47367030625163575,0.0,1.0000000062714602,0.9545819878167665,0.45260125417633856,0.0324540983277711,0.7336848876414229,0.38073658307934544,0.44434593373128983,0.07299545932326278,0.36538511072411384,0.36538511072411384,0.44700861296861316,15,48
2025-10-13,2025-10-22,2025-10-23,2025-10-27,42765,0.49495595443906415,0.49294560581476543,1.215538561900187,1.1970333643708027,0.9282503777562255,0.0,0.9999990836602446,0.9647356801058077,0.5261297305274817,0.021982912576041583,0.7521437363230573,0.3822645574978388,0.4585549750787298,0.07130195720589448,0.42424181044751497,0.42424181044751497,0.5727934487310149,15,49
2025-02-16,2025-03-01,2025-03-02,2025-03-08,66173,0.37741416294549013,0.3776071507283824,0.3779093751871614,0.345491536507948,0.3454915367982838,0.0,1.000000048824546,1.0107974163358064,0.3347483606264152,0.053521507951083826,0.6968288283635612,0.3118265369180649,0.3307135227318201,0.07649385601595407,0.3098790685355449,0.3098790685355449,0.3202755186808922,21,0
2025-02-25,2025-03-10,2025-03-11,2025-03-17,66524,0.3928128004963555,0.39298489852428736,0.3939913627271841,0.3575092524866426,0.3575092524981879,0.0,0.9999999963742484,1.0093090241876363,0.3475229672602773,0.05172648377291172,0.6965138053041945,0.31604446200349046,0.343864296581136,0.0797584866506138,0.29962175646065037,0.29962175646065037,0.3309572317394781,21,1
2025-02-26,2025-03-11,2025-03-12,2025-03-18,66568,0.3983075269182275,0.3985050952533083,0.39933788228744604,0.3575888537058479,0.3575888550747932,0.0,0.9999997261203153,0.9945735495655305,0.35030180860489113,0.05084624934935059,0.6955639841576571,0.3140854707995808,0.3453361634677447,0.07680856912683558,0.29833173523998235,0.29833173523998235,0.33297542708182454,21,2
2025-02-28,2025-03-13,2025-03-14,2025-03-20,66655,0.4016328576896016,0.4017735190283039,0.4025812419134521,0.36135772746556555,0.3613577274660462,0.0,0.9999999998575573,0.9903008823718369,0.35127719258947343,0.052103918274145504,0.6963835550609019,0.317278886012304,0.34504174831251,0.07563798359854138,0.29368832218675195,0.29368832218675195,0.3350825045507463,21,3
2025-03-03,2025-03-16,2025-03-17,2025-03-23,66787,0.37855614709486024,0.37871854484632256,0.3788422143441627,0.343272156781092,0.3432721550749519,0.0,0.9999997049968298,1.0090515540340235,0.3323007937066704,0.050658890160805006,0.6995670136159765,0.3184697066271877,0.32787766361423987,0.07714531268344348,0.3003123603708767,0.3003123603708767,0.31979504081824284,21,4
2025-03-05,2025-03-18,2025-03-19,2025-03-25,66876,0.37863082091280437,0.3787212374029258,0.3787432334922031,0.3379055365967151,0.33790553640511234,0.0,0.9999999121706404,0.9922677251794664,0.3294330027599604,0.05179063227596605,0.6767188877713032,0.28946940893764195,0.3260699946242058,0.0761202770766877,0.28834053680689764,0.28834053680689764,0.3189031625595559,21,5
2025-03-06,2025-03-19,2025-03-20,2025-03-26,66921,0.3698200317926242,0.3698930487595538,0.36995010351609126,0.3314511535645716,0.3314511531054712,0.0,0.9999998879684571,0.9925208261228683,0.32322404323134396,0.05157340063198115,0.6788632552480924,0.29413378375369614,0.32033064709469183,0.07826149066525406,0.2907078912307429,0.2907078912307429,0.31252873262411934,21,6
2025-03-13,2025-03-26,2025-03-27,2025-04-02,67150,0.36202495708796006,0.3619653600826172,0.36214079668778965,0.33139033968404913,0.3313903398710888,0.0,0.9999998880807822,0.9944926226316182,0.3197663244597838,0.0562689296275904,0.6693038787124158,0.2922233859641893,0.3150487852383182,0.08549223059576641,0.2844086557675396,0.2844086557675396,0.30434749283120116,21,7
2025-03-28,2025-04-10,2025-04-11,2025-04-17,67571,0.3810343146695942,0.3809028912882887,0.38102514205579785,0.35177911218281716,0.35177911282693214,0.0,0.9999998645528786,1.0015960633425902,0.3406448108760733,0.05476017906196535,0.7069418816386105,0.35966888886270415,0.3371546523408394,0.08402215703606697,0.2943643181235324,0.2943643181235324,0.3257120900170445,21,8
2025-04-02,2025-04-15,2025-04-16,2025-04-22,67720,0.3737583697094931,0.3737928076784608,0.37386301381708015,0.34464900172387636,0.344649001746013,0.0,1.0000000067447754,1.0163941863964954,0.3342822540842364,0.055266782429348835,0.7091421099264569,0.35172709923429024,0.330039045105041,0.08164491699987655,0.3080776438231492,0.3080776438231492,0.3185577095204929,21,9
2025-04-04,2025-04-17,2025-04-18,2025-04-24,67777,0.37763560170644095,0.37768600249056783,0.37781688777718925,0.34397543844872003,0.34397543842041967,0.0,0.9999999877271418,1.0160755570331552,0.33563298453150053,0.05492800203088544,0.7085527363312191,0.34576592144776214,0.3299894842668172,0.08414140548961598,0.30606988657918943,0.30606988657918943,0.31801190860258577,21,10
2025-04-05,2025-04-18,2025-04-19,2025-04-25,67808,0.38149022831414386,0.3815211531197547,0.3817120007980852,0.34493656962583036,0.3449365701227621,0.0,1.0000004218681318,1.0194067786343177,0.3377948478053682,0.054808369547151056,0.7100858783964855,0.3429538289682266,0.3326566228619126,0.08198598384337985,0.30961331779795814,0.30961331779795814,0.3197535882292802,21,11
2025-04-11,2025-04-24,2025-04-25,2025-05-01,67976,0.3887294090224332,0.38869574766243586,0.38871874358161934,0.35133108906119753,0.35133108904857796,0.0,0.9999999748361456,1.0222316821600754,0.34154570916994925,0.05316962783109299,0.7061426058529602,0.3296967353942774,0.337028067597269,0.07721603549508159,0.30635417243996976,0.30635417243996976,0.32508989363965246,21,12
2025-04-13,2025-04-26,2025-04-27,2025-05-03,68039,0.38069236962717934,0.3807067308221092,0.3805835865833413,0.34660415868696787,0.3466041580782153,0.0,0.9999998190757725,1.0191693183183324,0.33522969008730674,0.05389537677430634,0.7015916881886015,0.3253241012775863,0.3309422040436916,0.07769918597610906,0.3014041001306324,0.3014041001306324,0.3182609422149933,21,13
